                                                  review  stars
0      "After hearing that this buffet was rated as #...    2.0
1      "Great burger and the bartender was kind enoug...    5.0
2      "I ordered a large poke bowl and the amount of...    4.0
3      "Welcome to Yonge and St. Clair!!. . Having wo...    4.0
4      "Highly recommend!!!  Excellent food/service.....    5.0
5      "I love the Sparrow, I have been here many a t...    5.0
6      "We ended up at this restaurant at the suggest...    5.0
7      "First time here and the buns were awesome! Gi...    5.0
8      "Did you know that a medium-sized bowl of wont...    5.0
9      "Delicious food, nice ambiance and quick and e...    5.0
10     "So I thought I finished up my Vegas reviews, ...    1.0
11     "Great outdoor dining spot in Vegas, on a perf...    5.0
12     "This is a American n middle eastern food comb...    4.0
13     "Let me start my review by saying the reason w...    4.0
14     "Excellent sushi bar, conveniently located and...    5.0
15     "Other Yelpers commented about slow service bu...    3.0
16     "Soooo delish!! I purchased the cranberry Kell...    4.0
17     "The place is hidden and it was dead when we w...    3.0
18     "Das Einzige was mir gut gefallen hat ist eige...    5.0
19     "I got the Roast Beef and Mushrooms with melte...    4.0
20     "This place is seriously good.  It's kind of l...    5.0
21     "The best wings at a wings bar you can get... ...    5.0
22     "Nutella latte and white chocolate mocha are k...    5.0
23     "Terrible food. Were the steak tacos supposed ...    1.0
24     "Loved this place, especially the all-you-can-...    5.0
25     "Yuck. Serving utensils thrown in food, food q...    1.0
26     "Oh my yes... Amazing. No comparison. This pla...    5.0
27     "This is a great place to eat if you're visiti...    4.0
28     "This is not my favorite Italian restaurant an...    5.0
29     "Best sushi & sashimi I ever tasted in Toronto...    5.0
30     "Not a huge fan. Two combos rang in at $30. Th...    4.0
31     "Scratch. From scratch.  Made from the basic i...    4.0
32     "Tried different appertizers. . Muscles, Calam...    5.0
33     "The service was very friendly, fast service t...    2.0
34     "Not impressed. Not even a chance to try the f...    1.0
35     "Good happy hour! Delicious street tacos: cost...    5.0
36     "The occasion was my brother's birthday dinner...    2.0
37     "For my girlfriend's birthday, she forced me t...    4.0
38     "Some of the best bar food ever and plenty of ...    4.0
39     "This place certainly tries hard to please and...    4.0
40     "I've gone a couple times normally around 5~ t...    4.0
41     "Affordable and delicious. Very spacious resta...    5.0
42     "I've tried a lot of the items on the menu her...    4.0
43     "This is a cosy little spot on a nondescript s...    4.0
44     "Nick's Italian is one of my new favorite litt...    4.0
45     "This is a quiet little brunch place that I al...    4.0
46     "Honestly I came to Montreal hoping to get awa...    4.0
47     "I agree with other yelpers. It's a fun place,...    4.0
48     "There sauces and homemade pasta is awesome! C...    5.0
49     "Babycakes, Babycakes, Babycakes.... . Red vel...    4.0
50     "Terrible experience. You pay 8 pounds for a f...    1.0
51     "used to grab take-out (because it was impossi...    4.0
52     "Had dinner and drinks Tuesday night for the 1...    5.0
53     "Decided to try it as a new restaurant (and ha...    1.0
54     "Love the management, a little frustrating whe...    5.0
55     "had brunch today, . best in recent memory!. ....    5.0
56     "We just checked out a great new resto in the ...    5.0
57     "Another quality meal from the team behind Ohj...    5.0
58     "I've been wanting to go to iPic for a long ti...    5.0
59     "Go here for Catering!  This Restaurant knows ...    5.0
60     "WOW ! J'adore ce sympathique resto qui offre ...    5.0
61     "Looking to try a new breakfast place I found ...    4.0
62     "Quite expensive compared to other Chinese / V...    4.0
63     "Been here twice now and each time have had a ...    4.0
64     "Great spot for lunch on the strip. My boyfrie...    5.0
65     "Food is Great and Services is just as Good!! ...    5.0
66     "If I could give this place ZERO stars I would...    1.0
67     "I had a rueben that tasted old. My friend did...    5.0
68     "We had a fantastic meal at the forth.  The se...    5.0
69     "The food and atmosphere at Cilantro Tacos is ...    5.0
70     "Subway is subway. This tastes like...subway. ...    5.0
71     "Food tastes like it was bought from Costco an...    5.0
72     "Started off with Hummus with Pita bread and S...    4.0
73     "Justin is the best! He always remembers me an...    5.0
74     "Breakfast here is good.  Also consistent.  It...    4.0
75     "Not very crowded like Monta, 5/5.  There is n...    3.0
76     "Easily one of my favorite places to eat in La...    5.0
77     "My wife and I also were intrigued by this new...    5.0
78     "We loved our experience at The Angry Butcher....    5.0
79     "Outstanding vegan food, obsessive environment...    1.0
80     "Have you guys been here in the daylight? This...    5.0
81     "But everytime I go there they are closed. :( ...    5.0
82     "In the world of Mongolian BBQ near my work, t...    2.0
83     "Great food, great prices, excellent customer ...    5.0
84     "Great German food in a slightly Americanized ...    5.0
